0	¡Hola guapa! Te estaba esperando, ¿Cómo estás?	1	Bien, ¿y tú?	2	¡Nada bien!, la música esta fatal!	2	Creo que te equivocaste de chica, estoy buscando a un rockero bien pesado llamado Mateo...	3		
1	¡Hola guapa! Te estaba esperando, ¿Cómo estás?	1	Bien, ¿y tú?	2	¡Nada bien!, la música esta fatal!	2	Creo que te equivocaste de chica, estoy buscando a un rockero bien pesado llamado Mateo...	3		
2	¡Yo? Genial! Me acabo de encontrar con la dragona más linda del bar...	1	(le sonries) Asi que tu eres Mateo...	3	Mmmm (un poco decepcionada) ¿Tu eres Mateo?	3	(te sonrojas) Gracias, bueno cuentame un poco sobre ti	5		
3	¡Soy yo! (muestra gran sonrisa con blancos y afilados dientes) No se si seré un rokero bien pesado... pero me defiendo! Mi guitarra es una extension de mi!	1	No te creo	4	Si tu guitarra es o más impresionante que tienes, tal vez deberíamos de suspender esta cita... ¿Tienes algun hobby? ¿Que te gusta hacer en tu tiempo libre?	5	¡Que confiado! Mucho gusto, soy tu esplendida cita (guiñas un ojo pícaramente) 	10		
4	Te lo demostraré (Saca una guitarra de su estuche) Traje esto para mostrarte un poco mis habilidades... espero que te guste (Empieza a tocar un riff estruendoso)	1	(Te tapas los oidos y pones cara de  horrible sufrimiento)	6	(le haces uan seña ràpida para que se detenga) ¡Muy bien! me encanta como suena! Ahora cuentame algo màs sobre ti, ¡Conozcamosnos un poco!	5	(Lo observas y esperas a que termine) Esta bien, no es mi tipo de música, pero...	10		
5	Mmm... En mi tiempo libre estudio publicidad y soy mi propio community manager; ¡soy mi propio jefe, manager y productor! (rie) y profesionalmente canto y toco la guitarra en mi propia banda! 	2	(con tono sarcastico) Felicitaciones.... Deberìas de considerar contratar a un verdadero profesional para hacer esa clase de cosas.	6	¡Que interesante! Suena a que no tienes ni un momento de respiro! 	9	Sinceramente me parece poco realista tu estilo de vida, disculpame pero creo que deberìas de crecer un poco...	8		
6	¿Còmo te atreves? (sus mejillas se ponen rojas).... ¡Y yo pensando que eras una dragona buena onda! (exasperado) ¡No sabes NADA! ¡IGNORANTE!	1	¡TU no sabes nada! (Agarras su guitarra y comienzas a tocar una melodia) ¡Asi es como se toca!	7	Como quieras, total, eres bien feo! Y este actito de dragon rockero no te pega PARA NADA! Hazte un favor, crece un poco y deja esas boberìas, estas haciendo el ridiculo.   	-1	Bueno, bueno, ¡No era mi intensión que te pusieras asi de sensible! (levantas las cejas sorprendida) Disculpame si te hice sentir mal	8		
7	(Te mira embelesado y con ojos brillosos)... ¡Waw, me sorprendes!.... Eres increible	1	¡Obvio! Pensé que ya estaba sobre entendido	12	¡Haha! (te sonrojas) Y yo creo que eres un lindo dragon... Podemos ir a un lugar mas intimo y tocar algo... Si quieres	11	¡Increible y fuera de tu alcance! Dedicate a otra cosa, esto de la musica no es para ti,  ¡Tienes dos grandes y torpes mitones en vez de garras! ¡Vete de mi vista!  	-1		
8	(Se queda un momento callado mirandote) Esta bien... pero tomame en serio; realmente siento que la música es algo muy importante en mi vida. Quiero poder vivir trabajando de esto y que todos escuchen mis creaciones. Yo sé que puedo hacerlo.	1	¿Que tan importante es?	9	Esta bien, sigamos con la cita (le sonries)	10	Nahh... no vale la pena	-1		
9	Tengo que seguir mi sueño, empecé desde abajo con una banda que hicimos con unos amigods en el secundario, y ahora estoy aqui de a poco haciendome conocer en la escena musical... realmente es mágico; muy extenuante pero gratificante! (Una amplia sonrisa cruza su rostro)	1	Te admiro, se necesita mucho coraje para seguir un sueño asi. 	11	Cuanto tiempo desperdiciado, que iluso....	-1	Mi sueño es tener un criadero de Ñandús, su carne es deliciosa, y sus plumas un sueño...	13		
10	¿Y que tipo de música te gusta escuchar? A mi me encanta de todo! Desde el punk tock de principios de los 70s al synth wave de los 80s, el grunge de los 90s....  (empieza a enumerar varias bandas de música)	1	¡Me gusta de todo!	12	Amo todo lo que sea rock; punk rock, metal rock, folk rock...	12	El reggaeton es mi vida, todos los fin de semana salgo a bailar con mis amigas dragonas favoritas y rompemos la noche	13		
11	(se sonroja) ¿Eso significa que quieres ser mi groupie?	1	Groupie o algo más, tu decides (dices con una sonrisa complice)	14	¿Tu groupie? Estas muy equivocado	16	Noooo, ¿yo? ¿tu gruopie? (te ries de forma burlona)	20		
12	(Te mira divertido) Me gusta tu onda, eres una dragona copada	2	Hay que tener buenas vibras con el mundo para poder ser feliz, esa es mi filosofía.	21	... Y muy peligrosa (dices relamiendote los labios	15	Creo que me gustas	11		
13	(Hace una mueca de asco) No quiero insultar tus gustos... pero que horrible	1	¡Que prejuicioso! Te voy a sacar ese prejuicio aniñado, tienes que salir de tu zona de confort y conocer lo que hay más alla de tu pequeño mundo. 	12	¡TUS gustos son horribles! Y tu música más todavía	6	Cada uno tiene sus gustos	21		
14	Tal vez deberíamos conocernos más a fondo, hablar en un lugar más privado,  comparar escamas... las tuyas se ven muy brillosas	1	Mis escamas son muy brillosas y mis garras muy filosas	15	No se si estoy convencida	16	(Tomas su mano y la acaricias) Y tu tienes unas escamas muy suaves....	18		
15	Creo que me gustarìa tomar ese riesgo...	2	(le tiras un zarpaso) ¡Entonces preparate!	-1	(Te inclinas y le robas un beso) 	0	Si te atreves...	19		
16	¿Por que?	1	No se me antoja	17	Por que sí	17	Hablemos de otra cosa..	10		
17	... Al final sos como todas, no te haces cargo de nada.	1	Eso es lo que esta sociedad patriarcal quieres que pienses. Deberiamos de aboler las clases sociales y los generos... y ser realmente libres. Hagamos una nueva generación; ayudame a criar a los nuevos elegidos de esta nueva generación.	19	Tus prejuicios son patéticos, tal vez deberías de considerar dejarlos 	21	(Te encojes de brazos y levantas las manos con un ademan desinteresado)	22		
18	(Sonrie sonrojado) Eres preciosa	1	Y tu eres muy atractivo (le tocas la rodilla levemente)	19	Demasiado preciosa para ti	20	(Le acaricias el pelo) tu tambien	0		
19	¡No se diga más! (te envuelve en sus fuertes brazos y te da un largo beso)	1	¡¡EWWW!!Soltame!! 	-1	Un momento, un momento... (te separas forzosamente de el) esto esta yendo muy rapido	20	(Te dejas llevar por la emoción del momento, pones tus brazos encima de sus amplios hombros y lo abrazas)	0		
20	¿No te gusto? (te pregunta con voz herida)	2	Por supuesto que sí... pero estamos yendo muy rapido.	16	Para nada	23	Ay, no se...	22		
21	Supongo que tienes razón.	1	¡Siempre la tengo!	18	(le sonries ampliamente) Creo que acabas de conquistarme.	0	(sonries misteriosamente)	18		
22	¿Te puedo ayudar a aclarar tus dudas?	1	No creo que puedas....	16	Tal vez....	24	No, ya me decidi; realmente no me interesas	23		
23	(Enfurecido) Doy por terminada esta cita, me hartaste...	1	¡Al fin!	-1	¡No! ¡Espera!	16	Tranquilo, estaba jugando contigo, hablemos de otra cosa....	10		
24	(Sonrie) Dime qué quieres de mí y lo haré 	1	Quiero tener un hijo tuyo para recordarte siempre 	0	Nada, esto no tiene futuro	23	Salgamos de aqui y busquemos algún lugar más intimo	0							
