0	*La mira* Hola	1	Hola, ¿sos Fausto, no?	2	Hola...	8	Hola. Te ves igual a la foto de perfíl.	2
1	*La mira* Hola	1	Hola, ¿sos Fausto, no?	2	Hola...	8	Hola. Te ves igual a la foto de perfíl.	2
2	Si, si. Soy Fausto, 18 años y cuidador de niños. *Ríe*	2	Si, leí tu perfíl. Tengo muchos niños en mi casa por si quieres cuidarlos. ¿Por qué eres niñero?	11	Pensé que sólo había dragonas niñeras	9	Hola, quería contratar tus servicios para cuidar a mis dragoncitos.	17
3	Bueno...¿Qué superpoder te gustaría tener?	1	Me gustaria poder leerte la mente.	20	El poder de hacerte desaparecer	7	Una niñera que no quiera salir corriendo de mis hijos	4
4	Se ríe* Eso no es un superpoder.	2	Lo es cuando no consigues una niñera.	5	Preferería eso antes que cualquier otro poder.	5	Bueno. Entonces quiero el poder de controlar el tiempo	6
5	Podrías clonarte.	1	Resultaría algo tentador para hacer todo lo que quiero hacer. Pero eso significaría tener que cuidar a mis hijos. No me parece que sea justo para mi clon.	23	Sigo prefiriendo lo de la niñera.	27	O podría conquistar a un padre que sepa cuidar niños. *Le guiña el ojo*	0
6	¿Por qué?	1	Así podría detener el tiempo y descansar por días sin interrupciones	26	Parece una entrevista de trabajo esto. ¿No sabes hacer preguntas interesantes?	7	Me gustaría ir al futuro a cuando mis dragoncitos ya sean grandes y fuertes.	23
7	No hace falta ser descarada	4	Bueno...Podemos cambiar de tema.	23	Realmente ya me caes mal.	-1	Me disculpo. No tenía mala intención. 	23
8	¿Cómo estás?	1	Muy bien. ¿Tu?	12	Bien. ¿Tu?	12	Todo en orden.	12
9	Generalmente son dragonas, pero no veo por qué los dragones no podamos serlo.	1	No dejaría a mis dragoncitos al cuidado de un dragón. Mi ex nunca les daba la atención que ellos necesitaban.	10	Desde mi punto de vista, los dragones no estan biologicamente diseñados para saber cuidar correctamente a un dragoncito.	10	Estoy de acuerdo. ¿Por qué eres niñero?	11
10	Depende de cómo sea el dragón, no de su género. Hay padres muy buenos y madres muy malas.	1	Entiendo.	3	Y por qué te gusta cuidar niños?	11	No estoy de acuerdo.	23
11	Creo que los dragoncitos son seres llenos de energía e imaginación. Pienso que si tienen una buena infancia entonces serán buenos, confiados y éxitosos en el futuro. Me gustaría ser un fuente de inspiración para ellos.	2	Eso es muy lindo. Vamos a crear dragoncitos	0	Ah bueno... Yo los detesto. Son molestos, vomitan, lloran, se portan mal y son muy dependientes. Y por lo que veo tu eres igual. No necesito a alguien como tu.	-1	Entiendo. Oye, eres muy alto.	13
12	Que bueno. Yo estoy bien.	1	Me alegro. Pensé que serías más bajo de estatura.	13	Ah...	23	Que bien.	27
13	Siempre me dicen eso.	1	Bueno...	3	¿Y que sueles responder?	14	¿No te molesta que te lo digan?	15
14	Suelo decir que mis padres decidieron que fuera alto para alcanzar las cosas de los estantes a los que ellos no llegaban	2	Entiendo. Espero que mis dragoncitos no crezcan tanto o no conseguirán ropa.	16	*Se ríe* Los entiendo. Muchas veces tampoco llego.	30	Tengo suegros inteligentes. *Sonríe*	26
15	No, no. Estoy acostumbrado. No te preocupes	2	¿Por qué eres tan alto si sólo tienes 18 años?	14	Esta bien.	14	¿Tus padres también son tan altos?	14
16	Quizás sean incluso más altos que yo	2	Dudo que puedan pasar por el marco de una puerta entonces *Se ríe*	30	Si hacemos dragoncitos juntos seguro que serán altos...	0	Espero que no. No me gustan los dragones gigantes.	26
17	*La mira asombrado* ¿Viniste a contratarme?	1	Si, es que no conseguía niñera y tengo una cita en 1 hora. 	-1	¿Contratarte? No te voy a pagar. Ya que te gusta cuidarlos no debería importarte el dinero.	18	Es una broma. *Ríe*	3
18	Me gusta cuidar niños pero aun así es mi trabajo, tengo cuentas que pagar.	1	Te invito a un helado y me los cuidas.	-1	Tienes razón. Te voy a pagar	19	Bueno...	7
19	Me parece que no es la forma correcta de contratar a alguien. Pensé que era una cita para conocernos.	4	Tienes razón. No quería ser grosera. Empecemos de nuevo. Hola, Fausto. Un gusto. Yo estoy bien. ¿Tu cómo estas?	12	Claro. Para conocerte en persona y ver si eres alguien decente. Pero veo que no sabes hacer negocios.	-1	Bueno... Hablemos de algo.	23
20	Siempre me pareció curioso poder leer la mente. De todas formas, preferiría poder materializar las cosas que imagino.	1	¿Qué utilidad tendría?	21	¿Por qué?	21	Bueno, te daré superpoderes. Pienso que me gustas mucho y podemos materializar todas las cosas que quiero hacerte.	0
21	Podría hacer más divertido al momento de contar historias. Podría mostrarle a los niños lo que imagino.	2	¿Pero no tendría repercusiones? Por ejemplo, que los demás te quieran atrapar y usarte de juguete de circo.	22	¿No es más fácil proyectar la película ?	23	Podrías comprar un casco de realidad virtual y lograr eso sin ayuda de superpoderes.	25
22	No lo había visto de esa forma. Igualmente me gustaría. Podría defenderme de ellos usando mi imaginación.	1	Me gustaría acompañarte en esa aventura.	0	Es un buen punto. Hablemos de algo más común.	23	Si tu imaginación es igual de mediocre que tu dudo que consigas algo.	-1
23	Bueno...¿Te gustan los cupcakes?	1	No, los detesto.	24	Me encantan. Si fuera por mi no comería nada más.	24	Me gustan pero no tanto.	24
24	A mi me encantan los cupcakes. Mis favoritos son los de manzana y jengibre y decorados con flores.	1	Odio el jengibre	27	Suena rico y adorable.	27	Ah, bueno...	27
25	Es una buena alternativa...De todas formas tendría que diseñar lo que imagino en 3D. A decir verdad no se diseñar ni animar en 3D...	1	Si tanto te hace ilusión quizás podrías aprender.	23	Nadie nació aprendiendo. Si quieres podriamos a un curso de 3D juntos...	0	Entonces ve a tirar tu sueño a la basura.	-1
26	Entiendo.	1	*Sonríe*	27	Bueno...	27	Cambiemos de tema.	27
27	¿Te gustan los hurones?	1	No, son ratas.	28	Me parecen muy tiernos.	29	No estoy de acuerdo con tener animales exoticos como mascotas	28
28	Ah...Tengo un par.	1	Ah...	29	Tienes ratas en tu casa? Traen enfermedades. Alguien cono tu no puede ser el padre de mis hijos.	-1	Te iré a denunciar.	-1
29	¿Te gustaría ir a mi casa a conocerlos?	2	Claro.	0	No, gracias. De hecho no quiero seguir con esta cita.	-1	Preferiría ir a tu casa para conocerte a ti.	0
30	¿Alguna vez vez inflingiste la ley?	1	No de forma consiente	27	En este momento estoy inflingiendo la ley por estar aqui, estoy en arresto domiciliario. No escuches las sirenas de las patrullas. *Ríe*	26	Creo que todo el mundo inflingio la ley alguna vez en su vida, por lo menos en algo pequeño.	26
