ID	Preguntas	Sprite	Opcion 1	Resultado 1	Opcion 2	Resultado 2	Opcion 3	Resultado 3
1	Hola, ¿Cómo estas?	1	Hola, bien y ¿Tu?	2	Hola, un gusto. Estoy bien. ¿Cómo estás tu?	2	Hola. (Observas como va vestido) Bien	2
2	Muy bien. Me gusta tu camiseta ¿La hiciste tu?	2	No, la compré así	3	Si. Compré una camiseta común y le puse mi estilo.	3	Es una camiseta muy vieja. Ni me acuerdo	4
3	Tiene mucha onda. Tenes buen gusto	2	Gracias	4	Me gusta más tu estilo.	7	Gracias. Leí en tu perfíl que estas estudiando diseño de indumentaria	5
4	¿Te gustan los videojuegos?	1	Si, me gustan. ¿Y a ti?	8	No (Te das cuenta de que estás jugando un videojuego y te replanteas tu existencia) ¿A ti?	8	Si, me encantan. Tambien soy pelirroja, bisexual y tengo un unicornio en mi castillo volador (Te riés)	9
5	Si, estoy en primer año y me encanta.	2	Que bueno. ¿Qué tipo de prendas te gusta diseñar?	6	¿Sabes hacer fursuits?	11	¿Qué materias te dan? Me da mucha curiosidad.	10
6	Me gusta diseñar prendas informales y casuales. Por ejemplo, camisetas, shorts, pantalones.	2	¿Son fáciles de hacer?	12	¿Si me caso contigo me vas a regalar ropa nueva?	13	No parece tan dificil.	12
7	¿Si? Gracias. A muchas personas les parece rara	2	No dije que no fuese rara.	4	Pues a mi me parece genial.	14	En realidad intentaba ser amable, tu ropa es horrible.	15
8	A mi me encantan los videojuegos, más que nada los de aventura.	1	Me encantan los juegos de aventura.	16	No me gusta mucho el género de aventura, me parece algo aburrido.	16	Sólo me gusta jugar videojuegos mientas viajo en transporte.	18
9	No entendí...	1	Nada, nada. Era una broma	16	No importa.	18	No entiendes nada.	15
10	Corte y confección, historia del arte, teoría del color, utilización de moldes, clasificación de telas, etc. Mi favorita es tintorería y estampación 	1	Suena interesante.	17	Yo con suerte se coser un botón. (Te ríes)	14	Pensé que sólo te enseñaban a coser.	19
11	Hice un par pero todavía no siento tener la destreza suficiente para que queden como se ven en mi mente	1	No creo que nunca tengas el talento necesario. Eres un fracaso en la indumentaria.	-1	Estás en primer año todavía, mejorarás.	23	Hacer fursuits es complicado. Experimenta y diviertete haciendolos. Algún día lo vas a conseguir.	23
12	Depende.Me gustan las prendas con muchos detalles, así que son complicadas.	1	Entiendo.	24	Suelen quedar mejor así.	24	Prefiero las prendas sencillas, es más facil combinarlas.	24
13	No creo en el matrimonio. Pero si somos amigos o pareja es probable que para tu cumpleaños o para navidad te regale ropa.	1	Yo tampoco creo en el matrimonio. Me parece sólo un papel.	18	Creo en el matrimonio pero aun así no me quiero casar.	18	Yo si me quiero casar. Así mis dragoncitos tendrían un padre.	16
14	Pues puedo enseñarte cosas básicas, como reparar prendas rotas o desgastadas. 	1	Eso me gustaría, gracias.	24	No creo lograr ser buena en eso.	24	Gracias pero creo que me gusta no saber.	16
15	Bueno. No hay necesidad de hablarme de esa forma	4	Perdón...	18	Hablo como se me antoje.	-1	Esta bien. Hablemos de otra cosa.	24
16	¿Preferirias volver al pasado o ir al futuro?	1	Preferiria quedarme el presente, si cambio el pasado no sería yo misma.	25	Me gustaría volver al pasado para modificar mis errores 	25	Me gustaría ir al futuro para dominar al mundo bajo el poder de los gatos.	25
17	Aunque requiere mucho tiempo, vale la pena el resultado. ¿Te gustan las aves?	1	Si, me encantan los pajaros.	18	No me desagradan ni me encantan.	18	Me gustan más otro tipo de especies. Como tu por ejemplo, déjame explorarte.	0
18	Bueno. ¿Te gusta viajar?	1	Me gusta ir a otros lugares pero detesto el viaje.	22	Me apasiona viajar, conocer lugares nuevos, otras culturas y tradiciones.	22	Me gusta quedarme en mi casa.	22
19	Nos enseñan muchas cosas. Desde que telas y colores usar para causar el efecto que buscamos, los estampados, dibujo para crear los bocetos y mil cosas más. 	1	Parece más complicado de lo que pensaba.	18	¿Te gusta hacer ropa para dragoncitos? Eso me vendría bien. (Te ríes)	20	No le veo utilidad. Deberías dedicarte a otra cosa.	15
20	(Ríe) De hecho si. Mi hermana tiene varios hijos y siempre le regalo ropa para ellos. Además tengo una caja llena con disfraces para dragoncitos así no se aburren cuando vienen a casa.	2	Eso es muy tierno. De hecho...Me gustaría ir a conocer tu casa ahora.	0	Ah...No me gusta disfrazar a mis dragoncitos.	24	Creo que mis dragoncitos se verían adorables con disfraz. Me los imagino jugando a las escondidas. (Sonríes)	21
21	Bueno. ¿Me vas a llamar esta semana?	1	No hace falta llamarte si duermo en tu casa..	0	Voy a estar todo la semana en un lugar sin señal, sin internet y sin saldo. Quizas se alargue por un año.	-1	(Lo llamas por teléfono) ¿De qué querías hablar?	24
22	Entiendo. A mi me gusta más estar en casa. Aunque me encantaría viajar a Francia y conocer a muchos de los diseñadores que admiro.	1	Estoy segura que lograras ir algun día.	23	¿Francia? No tienes lo suficiente ni para considerarte un diseñador promedio. Eres un mediocre	-1	Yo ni puedo ir de viaje con tantos dragoncitos, sería muy caro el transporte.	24
23	Eso espero. 	1	Rélajate. Sólo esfuerzate y lo vas a lograr.	21	Ten confianza en ti mismo.	21	Estoy segura que puedes lograr todo lo que te propongas si realmente lo deseas.	21
24	¿Cuáles son tus colores favoritos?	1	Me encanta el color negro y el rojo.	26	Me gustan los colores fríos como el azul y el verde.	26	El color de tus ojos. Déjame verte más a fondo.	0
25	Preferiría viajar al futuro para ver como sería en 10 años y motivarme a ser esa persona.	1	Eso es muy lindo. Me gustaría acompañarte a ser esa persona.	0	Vas a ser el mismo dragón ingenuo, insignificante e insípido	-1	Estoy segura de que serás tan increible como lo eres ahora. (Sonríes) Me gustas	0
26	A mi me gusta el azul con el plateado. ¿Te gusta leer?	1	Si, más que nada novelas 	28	¿Leer comentarios en redes sociales cuenta?	27	Sólo lo que escriben atras de las puertas en los baños públicos o el shampoo cuando voy al baño de mi casa.	27
27	Eso no cuenta. (Ríe)	2	Ya lo se. No me gusta leer.	28	Claro que cuenta, idiota. 	-1	Cada vez que intento leer me duermo.	28
28	(Mira la hora) Bueno ya me tengo que ir. Fue un gusto conocerte	1	¿Ya te vas? Es porque te caigo mal seguro. Nadie me abandona. Te voy a dar una paliza	-1	Te acompaño.	0	¿Te vas? Nadie me deja hablando sola. Ya sabía yo que no valías la pena	-1
