ID	Pregunta	Sprite	Opcion 1	Resultado 1	Opcion 2	Resultado 2	Opcion 3	Resultado 3
1	¡Hola guapa! Te estaba esperando, ¿Cómo estás? 	1	Bien, ¿y tu?	2	¡Nada bien! La música esta fatal	2	Creo que te equivocaste de chica, estoy buscando a un rockero bien pesado llamado Mateo...	3
2	¿Yo? ¡Genial! Me acabo de encontrar con la dragona más linda del bar...	1	(Le sonríes) Así que tu eres Mateo...	3	Mmmm (Un poco decepcionada) ¿Tu eres Mateo?	3	(Te sonrojas) Gracias, bueno cuéntame un poco sobre ti	5
3	¡Soy yo! (Muestra gran sonrisa con blancos y afilados dientes) ¡No se si seré un rockero bien pesado pero me defiendo! Mi guitarra es una extensión de mí	2	No te creo	4	Si tu guitarra es lo más impresionante que tienes, tal vez deberíamos suspender la cita... ¿Tienes algún hobby? ¿Qué te gusta hacer en tu tiempo libre?	5	¡Que confiado! Mucho gusto, soy tu espléndida cita (Guiñas un ojo pícaramente) 	10
4	Te lo demostraré (Saca una guitarra de su estuche). Traje esto para mostrarte un poco mis habilidades. Espero que te guste. (Empieza a tocar un riff estruendoso)	2	(Te tapas los oidos y pones cara de sufrimiento)	6	(Le haces una seña rápida para que se detenga) ¡Muy bien! Me encanta como suena. Ahora cuéntame algo más sobre ti. ¡Conozcámonos un poco!	5	(Lo observas y esperas a que termine) Esta bien, no es mi tipo de música, pero...	10
5	Mmm... En mi tiempo libre estudio publicidad y soy mi propio community manager; ¡Soy mi propio jefe, manager y productor! (Ríe) Profesionalmente canto y toco la guitarra en mi propia banda. 	2	(Con tono sarcástico) Felicitaciones... Deberías considerar contratar a un verdadero profesional para hacer esa clase de cosas.	6	¡Que interesante! Suena a que no tienes ni un momento para respirar.	9	Sinceramente me parece poco realista tu estilo de vida, disculpame pero creo que deberías de crecer un poco...	8
6	¿Cómo te atreves? (Sus mejillas se ponen rojas)... ¡Y yo pensando que eras una dragona buena onda! (Exasperado) ¡No sabes NADA! ¡IGNORANTE!	4	¡TU no sabes nada! (Agarras su guitarra y comienzas a tocar una melodía) ¡Así es como se toca!	7	Como quieras, total eres bien feo. Y este actito de dragón rockero no te pega PARA NADA! Hazte un favor, crece un poco y deja esas boberías. Estás haciendo el ridículo.   	-1	 ¡No era mi intención que te pusieras así de sensible! (Levantas las cejas sorprendida). Disculpame si te hice sentir mal	8
7	(Te mira embelesado y con ojos brillosos) ¡Wow, me sorprendes! Eres increíble.	3	¡Obvio! Pensé que ya estaba sobre entendido	12	¡Haha! (Te sonrojas) Y yo creo que eres un lindo dragón. Podemos ir a un lugar más íntimo y tocar algo... Si quieres	11	¡Increíble y fuera de tu alcance! Dedicate a otra cosa, esto de la música no es para ti. ¡Tienes dos grandes y torpes mitones en vez de garras! ¡Vete de mi vista!  	-1
8	(Se queda un momento callado mirandote) Esta bien... pero tómame en serio; realmente siento que la música es algo muy importante en mi vida. Quiero poder vivir trabajando de esto y que todos escuchen mis creaciones. Yo sé que puedo hacerlo.	4	¿Qué tan importante es?	9	Esta bien, sigamos con la cita (Le sonríes)	10	No vale la pena	-1
9	Tengo que seguir mi sueño, empecé desde abajo con una banda que hicimos con unos amigos en el colegio, y ahora estoy aquí, de a poco haciéndome conocer en la escena musical. Realmente es mágico; muy extenuante pero gratificante (Una amplia sonrisa cruza su rostro)	2	Te admiro, se necesita mucho coraje para seguir un sueño así. 	11	Cuanto tiempo desperdiciado, que iluso....	-1	Mi sueño es tener un criadero de ñandúes. Su carne es deliciosa y sus plumas un sueño.	13
10	¿Y qué tipo de música te gusta escuchar? A mi me encanta de todo, desde el punk rock de principios de los 70s al synthwave de los 80s, el grunge de los 90s....  (Empieza a enumerar varias bandas de música)	1	¡Me gusta de todo!	12	Amo todo lo que sea rock; punk rock, metal rock, folk rock...	12	El reggaeton es mi vida. Todos los fines de semana salgo a bailar con mis amigas y rompemos la noche.	13
11	(Se sonroja) ¿Eso significa que quieres ser mi groupie?	3	Groupie o algo más, tu decides (Sonrisa cómplice)	14	¿Tu groupie? Estás muy equivocado	16	No, ¿yo? ¿tu gruopie? (Te ríes de forma burlona)	20
12	(Te mira divertido) Me gusta tu onda, eres símpatica.	2	Hay que tener buenas vibras con el mundo para poder ser feliz, esa es mi filosofía.	21	... Y muy peligrosa (Relamiendote los labios)	15	Creo que me gustas	11
13	(Hace una mueca de asco) No quiero insultar tus gustos... pero que horrible.	1	¡Que prejuicioso! Te voy a sacar ese prejuicio aniñado. Tienes que salir de tu zona de confort y conocer lo que hay más alla de tu pequeño mundo. 	12	¡TUS gustos son horribles! Y tu música más todavía	6	Cada uno tiene sus gustos	21
14	Tal vez deberíamos conocernos más a fondo, hablar en un lugar más privado. Comparar escamas... las tuyas se ven muy brillosas	3	Mis escamas son muy brillosas y mis garras muy filosas	15	No se si estoy convencida	16	(Tomas su mano y la acaricias) Y tu tienes unas escamas muy suaves....	18
15	Creo que me gustaría tomar ese riesgo...	3	(Le tiras un zarpaso) ¡Entonces prepárate!	-1	(Te inclinas y le robas un beso) 	0	Si te atreves...	19
16	¿Por qué?	1	No se me antoja	17	Porque sí	17	Hablemos de otra cosa...	10
17	Al final eres como todas, no te haces responsable de nada.	4	Eso es lo que esta sociedad patriarcal quiere que pienses. Deberíamos de abolir las clases sociales y los géneros. Ser realmente libres. Hagamos una nueva generación; ayúdame a criar a los nuevos elegidos de esta nueva generación.	19	Tus prejuicios son patéticos. Tal vez deberías de considerar dejarlos 	21	(Te encojes de brazos y levantas las manos con un ademán desinteresado)	22
18	(Sonríe sonrojado) Eres preciosa	3	Y tu eres muy atractivo (Le tocas la rodilla levemente)	19	Demasiado preciosa para ti	20	(Le acaricias el pelo) Tu también	0
19	¡No se diga más! (Te envuelve en sus fuertes brazos y te da un largo beso)	3	¡EWWW! ¡Soltame!	-1	Un momento, un momento... (Te separas forzosamente de el) Esto esta yendo muy rápido.	20	(Te dejas llevar por la emoción del momento, pones tus brazos encima de sus amplios hombros y lo abrazas)	0
20	¿No te gusto? (Voz herida)	2	Por supuesto que sí... pero estamos yendo muy rápido.	16	Para nada	23	Ay, no se...	22
21	Supongo que tienes razón.	1	¡Siempre la tengo!	18	(Sonríes ampliamente) Creo que acabas de conquistarme.	0	(Sonríes misteriosamente)	18
22	¿Te puedo ayudar a aclarar tus dudas?	3	No creo que puedas....	16	Tal vez....	24	No, ya me decidí. Realmente no me interesas.	23
