ID	Preguntas	Sprite	Opcion 1	Resultado 1	Opcion 2	Resultado 2	Opcion 3	Resultado 3
1	Hola, cómo estas?	1	Bien, estaba ansiosa por conocerte	12	Bien, aunque con muchos nervios	12	Bien. Disculpa por llegar tarde, se retraso la niñera	11
2	De todas las personas en el mundo con quien saldrias a comer?	1	Contigo	16	Con cualquiera que se ofrezca a alejar tus escamas de las mias	28	Sola. No me gusta compartir mi comida	7
3	Traje tarta de atun y empanadas para comer. ¿Te gusta la comida casera?	1	Si, no sabia que cocinaras, me gustaría comer ahora.	2	Que rico. Vamos a comer	2	Realmente solo necesito que sepas calentar leche para dragoncitos en el microondas	5
4	Eso es muy tierno. Creo que tengo una corazonada contigo. Tu no?	3	Si, pero ten cuidado, quizas nos de un ataque al corazón	16	Deberia llevarte al hospital?	32	Tengo la corazonada de que hoy voy me voy a quedar hasta las 3am viendo las redes sociales	28
5	*Se rie* Te gustan los niños?	1	Si, tengo varios.	6	Tengo algunos, eso ya deberia darte una pista de si me gustan o no.	6	No me gustan mucho pero parece que los metodos anticonceptivos no son muy efectivos aqui aun...	14
6	Qué piensas o haces cuando un dragoncito se pone a llorar en el bus?	1	Me dan ganas de consolarlo y hacer que se sienta mejor	4	Me dan ganas de cortarle las cuerdas vocales...Quiero decir bajar del bus y subirme al siguiente. Te gustan los niños a ti?	22	Me pongo a llorar tambien hasta que él deje de hacerlo. Debería ser un deporte, iria a las olimpiadas.	31
7	Entiendo. Tus pechos estan operados?	3	No. Otro tema?	8	Eso no es algo que te importe	31	Si, me los operé para que sean como pulpos y poder alimentar a varios dragoncitos al mismo tiempo	31
8	Eres celosa de tu pareja?	1	No, si esta conmigo es porque me quiere a mi	10	Si, soy celosa. Asi que ve borrando Tander.	26	No, incluso me gusta que mi pareja mire a otras dragonas, para poder reclamarle luego y poder discutir.	31
9	Esta bien. Qué es lo primero que te puede atraer en alguien?	1	Su forma de pensar, el cuerpo cambia con los años	10	Su cuerpo, para mi es primordial que me atraiga físicamente	7	Si esta bien abrigado o no. No puedo pretender que sea buen padre para mis hijos y de el ejemplo si va desabrigado	5
10	Estoy de acuerdo¿Qué cosa definitivamente no perdonarías a tu pareja?	1	Que me mienta o me engañe	18	Que me falte el respeto	18	Que me cuente spoilee un capitulo de mi serie favorita	19
11	No te preocupes ¿Cuántos hijos tienes?	1	Menos de los que quiero tener	8	Más de los que quiero tener	14	Los suficientes para conquistar el mundo	17
12	Te fue facil llegar?	1	Si, vengo seguido a este lugar	13	No, nunca había venido y me extravié	13	Si, pero aun asi llegue tarde. Perdon por la demora	11
13	Quieres comer?	1	No, conversemos mejor	9	Si, me muero de hambre	3	Si, me comería un planeta	3
14	Oh...Y no consideraste darlos en adopción?	1	No, son mis bebés, no los voy a abandonar	7	Ya di en adopción a algunos	7	Aún no terminó el proceso de adopción	7
15	*Sonrie* Salgamos otro día si quieres	2	Eso me gustaría	23	Creo que sería mejor que eso no pase	28	Contigo? No, gracias	28
16	Eso es halagador. Pues ya estas aquí, aprovechemos.	2	*Sonrie*	24	No me gusta el humor negro. Eres un idiota. No quiero volver a salir contigo	-1	*Se preocupa* Llamo a un médico?	32
17	*Se rie* Eso me parece genial. Creo que lo vas a conseguir.	2	*Sonrie*	23	Qué me importa lo que tu creas? *Se molesta*	26	Gracias. Yo tambien lo creo	16
18	Eso es muy feo. Ya lo han hecho antes?	1	Si, ya lo han hecho	21	No y espero que no lo hagan. 	21	Si, pero yo tambien lo hice	21
19	*Se rie* Espero nunca spoilearte	2	Tu puedes hacerlo	15	No lo hagas, no me gusta que nadie lo haga	24	Ni lo intentes, desataras mi furia *Rie*	15
20	Me gusta ir a convenciones furry ¿Te gustan los furries?	1	No	24	Si, me parecen adorables. Casi tan adorables como tu	25	¿Qué es un furry?	31
21	Espero que no te lastimen.	1	Gracias. Hablame de ti	20	No se que dices, tu también lo haras.	24	Bueno, hablemos de otra cosa.	7
22	Si, me gustan. Tengo una niña llamada Susan un niño llamado John	2	Que bonitos nombres	25	Deberías ponerle a tus hijos nombres latinos	24	Quizas los conozca algun día, seguro son tan adorables como tu	25
23	En realidad...Te gustaría ir a mi casa?	1	Si, vamos	0	Claro	0	Me encantaría	0
24	No digas eso, yo estoy siendo amable contigo	4	Puedo decir lo que quiera	26	Esta bien. Perdón	25	Quién te crees para callarme? *Se altera*	26
25	Gracias.	2	Gracias a ti por ser amable conmigo	30	De nada *Sonrie*	30	No hace falta que agradezcas	30
26	Calmate	4	Me estoy cansando de ti, no me quiero calmar	27	Eres idiota o qué?	27	Perdón. Me tranquilizo	29
27	Pues entonces vete *Se molesta*	1	No me voy nada	-1	Pudrete	-1	Ven aqui a ver si eres mejor que yo	-1
28	*Se sorprende* ¿Por qué?	1	Porque no me gusta como me hablas	24	Solo es una broma *Rie*. 	24	Me caes muy mal. Quiero darte una paliza	-1
29	*Silencio* Bueno...Te gusto?	1	Si	25	Claro que no, si eres una persona horrible	27	Un poco.	20
30	No hay de que. Quieres que te acompañe a tu casa?	2	Si	0	Me parece bien	0	Vamos	0
31	Cambiemos de tema...	1	Bueno...	24	No eres bueno en eso	28	Entiendo.	28
32	No, estoy bien asi. 	1	Estabas bromeando? No me gusta la gente que bromee con condicionales graves de salud. No vales la pena	-1	No entiendo entonces	31	Esta bien	24
