ID	Preguntas	Sprites	Opcion 1	Resultado 1	Opcion 2	Resultado 2	Opcion 3	Resultado 3
1	Hola ¿Cómo estás? Soy Maxi, el chico de Tander.	2	Hola, bien. ¿Y tu? ¿Hace mucho que llegaste?	2	(Lo miras de arriba a abajo) Hola, muy bien ahora que te veo. Y tu, ¿Cómo estás? (Ves que hay una botella y media vacia) ¿Llegué tarde?	2	Más o menos. *Mira el lugar* ¿Cómo estas?	3
2	Estoy bien, gracias. Vine una hora antes para conocer tranquilo el lugar 	1	¿Y encontraste algo interesante?	4	¿¡Una hora antes!? ¿Siempre eres tan puntual? 	5	Yo ni loca llego tan temprano, con 10 minutos alcanza.	6
3	Bien. ¿No te gusta el lugar? Podemos ir a otro sino	1	No, esta bien. Es que no suelo venir a este tipo de lugares para una cita (Te ruborizas)	10	Es horrible pero no quiero ir a otro lugar.	6	Es más feo que tu y no quiero ir contigo a ningun lado.	8
4	Si, tiene una sala para jugar videojuegos y en el segundo piso hay una muestra de obras de arte. Además venden bebidas importadas raras	2	Que bueno. Podriamos ir después. ¿Por qué te gustan los videojuegos?	9	Que aburrido. ¿Te tardaste una hora y sólo encontraste eso? Que pérdida de tiempo	6	Genial. ¿Te gustan más los videojuegos o el arte?	9
5	Trato de serlo. Me parece una falta de respeto llegar tarde. Aparte me gusta ver si hay actividades o cosas curiosas para hacer a los lugares que voy	1	No lo había visto de esa forma. ¿Y si no hay nada para hacer en ese lugar?	11	Me parece curioso. Igual llegaría como mucho 20 minutos antes para eso. Pienso que una hora es demaciado tiempo	11	Bueno, me parece un desperdicio de tiempo	6
6	Bueno... Hablame de ti	1	Busco la felicidad. Me gusta superarme día a día y sentirme en armonía.	7	Soy una dragona promedio con una vida común. No se me ocurre que contarte. (Miras la mesa)	10	Soy una dragona genial con muchos planes y sueños a cumplir. Y estoy totalmente fuera de tu alcance	8
7	Eso me parece genial. Me pareces encantadora. *Sonrie*	2	Gracias. Tu también lo eres (Sonríes)	12	Tu me pareces aburrido	8	Gracias... (Te ruborizas)	10
8	Si no te agrado te puedes ir.	4	Eso voy a hacer	-1	Sólo bromeaba. Perdón si te herí es que estoy nerviosa y no se me ocurrió otra cosa 	10	No dije eso	12
9	Considero que los videojuegos son una forma de arte. Para hacerlos se necesita que sepan crear historias y mundos, ilustraciones, animaciones, música y programación para que todo funcione. ¿A ti te gustan?	1	Tienes razón. Si, me gustan los videojuegos	12	El arte me aburre y la mayoría de los videojuegos tambien.	12	Me gustan los videojuegos pero siento que la mayoría va de lo mismo, con los mismos estereotipos, historias parecidas y personajes con las mismas motivaciones. Me gustaría jugar un videojuego diferente.	15
10	Relajate. Yo no muerdo. Sólo se tu misma	1	Esta bien. Eso haré	12	Pero yo si muerdo. *Sonríe de forma maliciosa*	17	Es que me pones nerviosa	17
11	Generalmente suele haber cosas para hacer. Aunque hay veces que no, pero no lo siento como un desperdicio, al menos intenté sacarle provecho al lugar. Realmente una hora no es tanto y te da el tiempo para explorar con tranquilidad el lugar al que vas y los alrededores	1	¿Qué fue lo más extraño o curioso que encontraste en tus exploraciones?	16	¿Y nunca te arrepentiste de salir tan temprano?	13	Sinceramente prefiero quedarme en la cama durmiendo	12
12	Bueno. ¿Y hace cuánto usas Tander?	1	Hace poco. Me salió como publicidad y quise probarlo.	18	Hace poco. Acabo de terminar de una relación y tenía ganas de conocer gente nueva.	18	Hace mucho, pero hasta ahora no conocí a nadie interesante	20
13	Sólo una vez cuando me dejaron plantado y estuve esperando 3 horas en lugar de 2. (Se rie) No hubo mucha diferencia. O la vez que me agarró la lluvia y llegué empapado a la cita. En realidad las dos cosas pasaron el mismo día	2	¿Te dejaron plantado por estar empapado?	14	Que feo, por lo menos te hubiese avisado que no iba a ir.	14	Quizas yo tendría que haber hecho lo mismo. 	10
14	La chica me vio mojado y se fue. Al día siguiente me confesó que le parecía mal que alguien se presente en ese estado en una cita	1	Yo hubiese hecho lo mismo que ella	-1	Que mala. Yo jamás hubiese hecho eso	20	Realmente no la entiendo. Seguro que mojado te veias muy bien	21
